product_uom_id,model_file,product_id,sku,product_name,uom,category_l1,category_l2,signal_group,use_lag_regressor,lag_mean,ma_blended,ma_yhat_json,backtest_mape,backtest_accuracy
006-018__PIEZA,model_006-018__PIEZA.json,006-018,006-018,ARROZ ROJO PAISA C/25K BULTO,PIEZA,COMESTIBLES,ARROZ GRANO,trend_and_seasonal,True,11.75,True,"[10.625, 10.625]",0.002250284288378879,0.9977497157116211
067-055__PIEZA,model_067-055__PIEZA.json,067-055,067-055,ALCAPARRAS CARBONELL 350 GR (12),PIEZA,COMESTIBLES,VEGETALES ENLATADOS,high_noise,True,26.5,True,"[26.5, 26.5]",0.002461860141062422,0.9975381398589376
021-015__PIEZA,model_021-015__PIEZA.json,021-015,021-015,CONCENTRADO MANGO FRUTIVA 1L (12),PIEZA,COMESTIBLES,CONCENTRADOS P/AGUA LIQ.,seasonal_dominant,True,20.75,True,"[20.75, 20.75]",0.0025740547166471115,0.9974259452833529
035-043__PIEZA,model_035-043__PIEZA.json,035-043,035-043,HARINA P/PASTEL CHOC.DEVIL BETTY C.375GR,PIEZA,COMESTIBLES,HARINAS,seasonal_dominant,True,37.75,False,"[37.75, 37.75]",0.005878566959608395,0.9941214330403916
012-017__PIEZA,model_012-017__PIEZA.json,012-017,012-017,CAFE CLASICO NESCAFE 1 KG (4),PIEZA,COMESTIBLES,CAFE,high_noise,True,25.5,False,"[25.5, 25.5]",0.006267081488811572,0.9937329185111884
048-007__PIEZA,model_048-007__PIEZA.json,048-007,048-007,MOLE DOÑA MARIA ROJO 4 KG *TINA*,PIEZA,COMESTIBLES,MOLES,high_noise,True,30.25,False,"[22.375, 22.375]",0.006837455955832446,0.9931625440441676
008-017__PIEZA,model_008-017__PIEZA.json,008-017,008-017,ATUN EN AGUA TUNY 1880G (6),PIEZA,COMESTIBLES,ATUNES,high_noise,True,127.25,False,"[118.75, 118.75]",0.007119637945535115,0.9928803620544648
022-043__PIEZA,model_022-043__PIEZA.json,022-043,022-043,ZUKO PIÑA C/8/13G (12),PIEZA,COMESTIBLES,CONCENTRADOS P/AGUA POLVO,high_noise,True,16.5,False,"[16.5, 16.5]",0.012252090718993044,0.987747909281007
061-011__PIEZA,model_061-011__PIEZA.json,061-011,061-011,SALSA INGLESA C/B 145 ML (24),PIEZA,COMESTIBLES,SALSAS DE MESA,high_noise,True,117.75,True,"[91.125, 91.125]",0.013133720982277514,0.9868662790177225
044-028__PIEZA,model_044-028__PIEZA.json,044-028,044-028,MAYONESA STAR VALUE BAJA GRASA 3.45K (6),PIEZA,COMESTIBLES,MAYONESAS,high_noise,True,51.25,True,"[46.916666666666664, 46.916666666666664]",0.013879408003333267,0.9861205919966667
012-035__PIEZA,model_012-035__PIEZA.json,012-035,012-035,CAFE CLASICO NESCAFE 42G (16),PIEZA,COMESTIBLES,CAFE,high_noise,True,18.0,True,"[18.0, 18.0]",0.01465001869572319,0.9853499813042768
023-005__PIEZA,model_023-005__PIEZA.json,023-005,023-005,CONDIMIX POLLO 14K BULTO,PIEZA,COMESTIBLES,CONSOMES,high_noise,True,10.75,True,"[10.75, 10.75]",0.015762021251452974,0.984237978748547
078-026__PIEZA,model_078-026__PIEZA.json,078-026,078-026,DETERGENTE AXION 720GR (18),PIEZA,LIMPIEZA Y CUIDADO HOGAR,DETERGENTES TRASTES,high_noise,True,639.0,True,"[639.0, 639.0]",0.016828275490216694,0.9831717245097833
045-024__PIEZA,model_045-024__PIEZA.json,045-024,045-024,MERMELADA FRESA MC 980G (12),PIEZA,COMESTIBLES,MERMELADAS,high_noise,True,10.75,True,"[13.5, 13.5]",0.01700856358776222,0.9829914364122377
097-019__PIEZA,model_097-019__PIEZA.json,097-019,097-019,SERVILLETA PETALO C/220 HOJAS (24),PIEZA,PAPEL,SERVILLETA,high_noise,True,154.25,True,"[164.25, 164.25]",0.01779001903051917,0.9822099809694809
034-011__PIEZA,model_034-011__PIEZA.json,034-011,034-011,GELATINA AGUA PIÑA D'GARI 720G (10),PIEZA,COMESTIBLES,GELATINAS/FLANES,high_noise,True,31.25,True,"[31.25, 31.25]",0.01855382218561775,0.9814461778143823
027-005__PIEZA,model_027-005__PIEZA.json,027-005,027-005,AJO EN POLVO PRAGNA 794G (12),PIEZA,COMESTIBLES,ESPECIAS/EXTRACTOS/COLORE,mixed_signal,True,40.25,False,"[35.875, 35.875]",0.0199390958045222,0.9800609041954778
067-008__PIEZA,model_067-008__PIEZA.json,067-008,067-008,CHICHARO HERDEZ 2.9 KG (6),PIEZA,COMESTIBLES,VEGETALES ENLATADOS,high_noise,True,35.75,False,"[35.75, 35.75]",0.023685403705583943,0.9763145962944161
049-009__PIEZA,model_049-009__PIEZA.json,049-009,049-009,MOSTAZA STAR VALUE 3.7KG (6),PIEZA,COMESTIBLES,MOSTAZAS,high_noise,True,18.5,False,"[18.0, 18.0]",0.024426524224784727,0.9755734757752152
035-033__PIEZA,model_035-033__PIEZA.json,035-033,035-033,HARINA AZUL MASECA 1K (10),PIEZA,COMESTIBLES,HARINAS,high_noise,True,10.75,False,"[10.75, 10.75]",0.02468417948636272,0.9753158205136373
067-096__PIEZA,model_067-096__PIEZA.json,067-096,067-096,MAIZ POZOLERO EL MEXICANO 3KG (6),PIEZA,COMESTIBLES,VEGETALES ENLATADOS,high_noise,True,20.0,True,"[20.0, 20.0]",0.024892170407124863,0.9751078295928751
061-019__PIEZA,model_061-019__PIEZA.json,061-019,061-019,SALSA TABASCO 355 ML. (12),PIEZA,COMESTIBLES,SALSAS DE MESA,high_noise,True,31.75,False,"[31.75, 31.75]",0.02548677932535686,0.9745132206746432
